id,alcohol,chlorides,citric acid,density,feat01,feat02,feat03,feat05,feat06,feat08,feat09,feat10,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
1,9.9,0.13699999999999998,0.44,0.98836,0.7618221731390804,0.8031605326104909,0.2246801620538524,0.8320681564509869,0.12731815874576569,0.25746794703770487,0.3727636884432286,0.14723236043937504,11.799999999999999,38,3.4099999999999997,4.188687627623999,1.5,4.86,50,0.44999999999999996
2,12.4,0.065,0.54,0.99531,0.02078303601592779,0.37544640502892435,0.8578830734008566,0.6620804602280259,0.75999048887752,0.7342481141724527,0.4171074749901891,0.24742907821200788,10.299999999999999,9,3.1999999999999997,6.91888491729709,2.1999999999999997,4.53,26,0.29000000000000004
3,11.299999999999999,0.1,0.39,0.99546,0.08318804670125246,0.14755717967636883,0.36031276085962416,0.3582031100522727,0.15607422776520252,0.4417966487808498,0.12199987540952861,0.08161231968551874,9,22,3.1799999999999997,4.894253800215151,1.9,4.6899999999999995,26,0.29000000000000004
4,10.9,0.07100000000000001,0.25,0.98685,0.6135259040165693,0.2878980082459748,0.6230300547919972,0.32204880425706506,0.26301666628569365,0.29181673717504714,0.25686849607154727,0.3769936026073992,7.1000000000000005,12,3.4899999999999998,5.146475333120546,2.5,4.5,36,0.52
5,11.5,0.08499999999999999,0.29,0.9965,0.19429940124973655,0.8924380908720195,0.333362439523675,0.28689423366449773,0.5896731941029429,0.6801063789318806,0.5641055295709521,0.961500582518056,8.5,14,3.48,5.052328026024448,4.1000000000000005,4.68,15,0.77
6,9.4,0.08199999999999999,0.32,0.9966,0.5112894515041262,0.0788008940871805,0.4551390981703487,0.9713655817322433,0.24656393146142364,0.5135398423281549,0.9248280499596149,0.2938588035758585,7.8,9,3.3899999999999997,3.5722312867489583,2.1,4.52,53,0.63
7,10.2,0.066,0.23,0.99588,0.5413252818398178,0.22230293392203748,0.6392985168166847,0.44696451537311077,0.9737650372553617,0.38555759605678086,0.4879351381678134,0.42048435332253575,7.5,37,3.46,6.536234717855474,2.1999999999999997,4.62,68,0.34
8,9.4,0.07,0.07,0.99572,0.25790689676068723,0.1906888447701931,0.5533079830691464,0.3065460128709674,0.08908701594918966,0.37716778687478386,0.2786081824451685,0.05614261841401458,7,18,3.32,4.6666126121685245,1.5,4.6,60,0.65
9,11,0.133,0.09,0.9868,0.40563310449942946,0.409056058852002,0.3443054217325383,0.0986298497300595,0.3908358227927238,0.41397103837109916,0.8212448416743428,0.7550392490811646,6.6000000000000005,16,3.53,4.519061699480263,3.8,4.67,33,0.54
10,11.2,0.076,0.73,0.9886,0.6977895763702691,0.3215430732816458,0.21280163456918452,0.3193354664836079,0.10926130833104253,0.49740345150083043,0.12412340380251408,0.7058637640438974,11.299999999999999,8,3.1999999999999997,7.232944600816998,3.1,4.66,21,0.47000000000000003
11,10.6,0.092,0.56,1.0069,0.10955863795243204,0.6901180068962276,0.6411240114643355,0.15174693567678332,0.38815639121457934,0.6174264388514807,0.6219453562516719,0.7312475137878209,8.7,37,3.3299999999999996,6.874949960184152,1.7,4.75,105,0.27
12,10.2,0.077,0.24,0.9988,0.7992873196490109,0.2260155794210732,0.5674042098618577,0.7267991602420807,0.2662147441878915,0.6715259869353165,0.8534335365984589,0.917983982944861,9.799999999999999,7,3.17,6.1317054330826455,2.1,4.6,27,0.68
13,9.9,0.126,0.55,0.99752,0.10129896411672235,0.3835920796263963,0.5576848307769247,0.1831923013087362,0.27522005839273334,0.6452281978439242,0.22912052040919662,0.9003079649992287,10.1,26,3.38,6.9132637515280955,1.5999999999999999,4.9399999999999995,54,0.7
14,9.700000000000001,0.084,0,0.98656,0.43604933260940015,0.5237710536457598,0.358714140825128,0.43420914886519313,0.02656996320001781,0.33838630504805034,0.9128726131748408,0.322375082410872,8.299999999999999,12,3.28,5.269130751051098,2.1,4.5,33,0.85
15,10.1,0.093,0.24,1.0078,0.7847949659917504,0.6967350882478058,0.3651346381497486,0.8753016763366759,0.7417549507226795,0.3268910382405191,0.8700850603636354,0.23527467530220747,10.1,8,3.3699999999999997,3.980040738978051,2.1999999999999997,4.52,15,0.52
16,12.3,0.038,0.36,1.005,0.6664410349912941,0.9203213159926236,0.3560318698257569,0.6670944192446768,0.05239298311062157,0.6301520897551023,0.8884018030948937,0.9232672909274697,8.299999999999999,37,3.3,6.468213306212399,2.1,5.01,54,0.29
17,9.700000000000001,0.08900000000000001,0.14,1.0084,0.9739621772896498,0.5448505696840584,0.49306164415036097,0.19603162235580385,0.664263948565349,0.42129846973507334,0.6187255489639938,0.10779003007337451,9.2,11,3.42,4.885573594670109,2.5,4.63,25,0.7999999999999999
18,8.9,0.08700000000000001,0,0.98675,0.6615482063498348,0.1494295175652951,0.654525747105521,0.47984509728848934,0.39224023232236505,0.48322815486340626,0.004294054117053747,0.3403938887640834,7.4,16,3.4,7.899968484097252,1.7999999999999998,4.58,36,0.61
19,9.1,0.07,0.03,0.98592,0.5599223177414387,0.1374154759105295,0.4252429333328759,0.03601342253386974,0.3447416953276843,0.4848938151364547,0.09838368440978229,0.813742131460458,7.7,29,3.05,5.821525481519742,3.9999999999999996,4.47,44,0.6
20,9,0.11399999999999999,0.15,1.00786,0.17867085942998528,0.548663342371583,0.4130464834077108,0.6456410503014922,0.18738566478714347,0.46610728151511355,0.823861634824425,0.18770161969587207,7.7,31,3.17,5.742283715964737,3.6,4.58,93,0.42
21,10.1,0.07200000000000001,0.02,0.99575,0.1991951430682093,0.42037811363115907,0.37881934370774983,0.18074625241570175,0.7982744344044477,0.551956079838606,0.7734776192810386,0.2152722622267902,7.2,19,3.3899999999999997,4.317000127927619,1.9,4.61,24,0.58
22,11.4,0.076,0.44,0.99494,0.25084680411964655,0.6975373977329582,0.833047743975534,0.8331368064973503,0.7748239901848137,0.2961443636648156,0.20475972793065012,0.48367669875733554,7.4,24,3.3299999999999996,5.991081687135542,2.5,4.84,47,0.41000000000000003
23,11,0.060000000000000005,0.49,1.0003,0.6036287064198405,0.7354559791274369,0.8250074622254964,0.7052342083770782,0.019564777612686157,0.6994250750795526,0.4888638851698488,0.45981535827741027,11.7,12,3.3499999999999996,6.656434176828518,3.1999999999999997,4.91,39,0.35
24,9.5,0.081,0.53,1.0076,0.7715755065437406,0.644204024458304,0.5642793878152019,0.4333993166219443,0.7510377294383943,0.5345507783545828,0.23257058300077915,0.50689967116341,8.2,20,3.4,5.4746036864578596,2.4,4.8,79,0.33
25,10.7,0.077,0.06,1.0065,0.656422832980752,0.052468524780124426,0.46705465622179326,0.6763224005699158,0.27566563664004207,0.4572472070497563,0.9152268867474049,0.03210168518126011,8.1,29,3.3899999999999997,7.076781249160343,3.9,4.67,63,0.545
26,9.2,0.07800000000000001,0.35,1.0061,0.7891005373094231,0.380422210553661,0.9494434339792486,0.05194900627247989,0.5916156775783747,0.3185771424710243,0.6791322261560708,0.23447232879698277,7.2,18,3.3699999999999997,6.2458492425422545,1.5,4.55,41,0.39999999999999997
